 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 August 2015,4,Prime location,Located in the pure center you cannot find a better place. The room are sizeable but a little outdated. The bar is a good place for business meetings. The restaurant is expensive when you have so much choice in the city.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,4,Lovely Stay at this Perfectly Located Hotel,"Recently completed a 3 night stay at this Hyatt property in the center of the city, location was unbeatable, and the staff and service were extremely gracious. The room, as requested, had a view of the Hassan II Mosque and the sea, was was spectacular and I was offered an early check in. Oddly, there was no storage or drawers anywhere in the otherwise lovely room...which made no sense, since there was plenty of space, just poorly designed. Tiny closet, with tiny shelves, no dealers anywhere...very strange. Very nice amenities, nicely replenished, plenty of extra bottled water. I made use of the Club level privileges which were definitely worth the extra price at this hotel, they offered a very nice breakfast, beautiful canapés and snacks at cocktail time with a nice…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,2,Worst Hyatt Hotel worldwide,I'm a Hyatt member and definitely don't recommend Hyatt Casablanca. The staff are ok but the hotel is really old and definitely need to be renovate. The rooms are not clean either. However they have a good restaurant at least.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,4,A beautiful Hotel if you just want to relax.,"The Hyatt Regency Casablanca is a beautiful Hotel with beautiful rooms. The rooms however, depending on which level you are on my not have a nice view (as ours didn't - overlooking the top of the lobby as we were on level 2). The food is reasonable, the staff are in general pleasant, but NOT extremely warm with the greeting. However they tend to be somewhat more friendly / warm if you are either French or of Middle Eastern background. I myself am Egyptian (now living in Sydney) however my girlfriend is Maltese (but looks english due to the colour of her skin etc). This is not to say that there are a handful of very nice and pleasant staff that do take the time to make you feel welcome and greet you with a smile - Mohammad being one of these unique and friendly people who…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,3,nice hotel but pricey,"This is a nice, comfortable and conveniently located hotel that my fiancé and I enjoyed staying at for two nights in early August 2015. The hotel is right across the street from the medina of Casablanca and a short taxi to the famous Hassan II mosque as well as to Rick's Cafe. While the food may be a little pricey, it is good as are their drinks. If you are passing through Casablanca at the start or end of your Moroccan adventure, this hotel would be a good place to stay for a night or two.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,3,Disappointing,"Stayed for two nights whilst on business, I spend roughly 200 nights a year in hotels and have become pretty tolerant in regard to expectations. Having experienced Moroccan hospitality many times I was saddened to be at the receiving end of discrimination, being a white British man who travels length and breadth of the globe one expects occasional discomfort in my being there, I was surprised by many of the staff in the hotel whom may not directly verbally express it but by the way of their actions it is obtuse - small things observed such as bottled water to native guests on arrival at the pool - I wasn't met with the same courtesy. Having to stand at the bar to get served as ignored at the table, to again return to get a further drink. Small things get noticed. The room…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,5,One of the best hotels ever,My friend and I stayed in this hotel as soon as we walked in the staff made us feel home they were super nice we went to a lady I forgot her name she checked us in she was really nice to us we had an issue with our booking she didn't say anything to us made sure that we are comfortable she went to the front desk manager for assistance and he came out he was such an amazing person he made sure that we get upgraded which he did and he was talking to us telling us about places and what should we do then we went to our room which they upgraded us and the room was by the far the best room ice staied in very clean and very nice later on we went down to ask few questions about the city meet a lady her name was Zahra and the other one I don't know her name but I used to call her lulu…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,5,Excellent stay,"The staff at this hotel were extremely helpful and with all smiles, the front desk took the initiative to help us make reservations for dinner around Casa. I especially would like to thank Fatma from the front desk for all the help she has done and it would be definitely a place I would stay again as it met the standards that I was looking for. Thanks for the amazing one night stay and se you soon!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,4,Very Accommodating,"I had some free nights and points so I used them at this hotel. It was unexpectedly good. I had a nice room facing the old medina. The wi-fi, A/C, bathroom, towels, bed and pillows, phone, and free water were great. A Nespresso machine was provided. The restaurant, bar, mini-bar are outrageously over-priced. A cafe is $5 (50 dirhams). When will these hotels realize that overcharging x 5 simply annoys guests-no matter how much money they have. Oh well. The concierges were quite helpful. I found restaurants and a taxi driver for a tour of the city. This is a story in itself. First, the price for the tour was 200 dirhams an hour; at the last minute it became 250/hr because ""the driver speaks good English."" The driver's English sucked and I was taken to a ""spice shop"" at which a man…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2014,4,Good hotel for business trips,Hyatt Regency Casablanca is located on a very central location in the city. Especially for the short business trips quite convenient. Hotels are comfortable and clean. The restaurants are fantastic. The Moroccon foods at the hotels were perfect. Staff is helpful and well trained. It was a nice stay experience during a business trip.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,5,Great experience,"Had the greatest time at this hotel.if you are looking for luxury and great staff this is the one for you. Had a little unlucky incident but the way it was treated by the managers and the director was greaaaat,professionally handled as expected from a five star and more.you do feel appreciated as a guest and that they want you to feel home and come back,so how can i think of another hotel. Everyone from the littlest employee to the biggest was asking during the stay how i was.i couldn't be but happy and the departure was a bit hard for me as i felt that i was leaving a family. My little boy was treated like a little prince ,even the littelest detail like cooling down his tea and bringing it to the table was heart warming. Can't wait to go back.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2015,4,Good conference venue,As a chain it met expectations nicely. The room was a good size and comfy. The staff were very helpful especially with arrangements connected to the conference. It is in a great location for exploring parts of the city.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,4,Mecca in Morocco,"Hotel exceeded my expectations.Very helpful mgmt staff after a long journey getting myself acquainted with what the hotel had to offer.The room was up to Hyatt standards with all the required bells and whistles. There beds are the most comfortable beds that I have slept on. Great outdoor pool area to relax and have a dip after a long walk around Casablanca. Enjoyed a lovely meal in the restaurant. Lobby area can get smoky with cigarette smoke depending on how many people are in the lounge, as this was during Ramadan and this was the buffet meal in the evening it was quite packed so understandable why the smoke level was high. Really nice touch is management staff checks in with you on a daily basis to see how things are without being obtrusive. Overall enjoyed my time here and…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,5,Great staff!!,"The Hyatt in Casablanca has a top notch staff - front desk, Regency Club, pool, all around. I was there on business during Ramadan and can tell you that this hotel works hard to make you feel comfortable. The Executive Suites are large and the Regency Club here is definitely worth the upgrade during Ramadan as most food establishments are closed during the day.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
